date,activity_id,name,distance_km,elapsed_time_s,moving_time_s,avg_speed_m_s,elevation_gain_m,avg_cadence_spm,calories,training_load,intensity,pace_min_km,pace_sec_km,reference_pace_min_km,load_proxy,acute_load_7d,chronic_load_28d_avg_week,acwr,km_last_7d,km_last_28d,km_last_28d_avg_week,runs_last_28d,longest_run_last_28d,pace_trend_sec_per_week
2023-10-31 20:47:18,10138751712,Trotezinho,8.26,4388,3440.0,2.401,21.0,,,,,6.941081517352704,416.4648910411622,5.9366666666666665,41.940946961937975,41.940946961937975,13.562578680641415,3.0924021124244243,8.26,9.9,2.475,2.0,8.26,1.4597911233785348
2023-11-05 13:07:22,10164816899,Com a irma,4.03,1657,1415.0,2.853,6.8,,,,,5.851943755169561,351.1166253101737,5.934141749723145,24.25050210830185,66.19144907023983,16.547862267559957,4.0,12.29,12.29,3.0725,2.0,8.26,0.9882921118582642
2023-11-07 20:29:04,10179014518,Tone tony morreu,4.4,2112,1749.0,2.519,2.0,,,,,6.624999999999999,397.49999999999994,5.9366666666666665,23.40734322851153,89.59879229875135,22.39969807468784,3.9999999999999996,16.69,16.69,4.1725,3.0,8.26,2.680718239809719
2023-12-03 19:56:52,10324324575,Afternoon Run,3.29,4408,1075.0,3.062,4.0,75.0,335.0,,,5.445795339412361,326.7477203647416,5.891780293974593,20.971411839568166,20.971411839568166,11.094688767019925,1.8902208326841752,3.29,7.69,1.9225,2.0,4.4,2.266906503345556
2023-12-06 18:34:39,10339612365,Afternoon Run,9.99,5695,3730.0,2.679,0.0,73.0,721.0,,,6.222889556222889,373.37337337337334,5.931616832779624,56.48323637290777,77.45464821247593,19.363662053118986,3.999999999999999,13.280000000000001,13.280000000000001,3.3200000000000003,2.0,9.99,2.552368413453677
2023-12-18 20:37:51,10401699904,Afternoon Run,8.66,3659,3201.0,2.708,2.0,74.0,667.0,,,6.160508083140877,369.6304849884526,6.006225919155219,50.711293448843726,50.711293448843726,32.041485415329916,1.582676108535887,8.66,21.939999999999998,5.484999999999999,3.0,9.99,4.854726219007574
2023-12-29 12:50:31,10456115180,Corrida matinal,8.07,2968,2679.0,3.012,139.7,,,,,5.532837670384138,331.97026022304834,6.006225919155219,52.6173454137646,52.6173454137646,45.19582176877107,1.1642081801933644,8.07,30.009999999999998,7.5024999999999995,4.0,9.99,2.4669351226730982
2024-02-03 11:58:12,10686779085,Corrida matinal,3.92,1294,1254.0,3.132,7.7,,,,,5.331632653061225,319.8979591836735,5.851943755169561,25.178284389210923,25.178284389210923,6.294571097302731,4.0,3.92,3.92,0.98,1.0,3.92,-4.068457718841407
2024-02-21 18:53:09,10809815129,Corrida vespertina,7.4,3888,2605.0,2.841,11.0,,,,,5.867117117117116,352.02702702702703,5.699977393750627,40.978233115401,40.978233115401,16.539129376152978,2.477653580392548,7.4,11.32,2.83,2.0,7.4,-1.2880257078166457
2024-03-18 21:16:35,10988955124,Evening Run,1.22,430,352.0,3.476,0.0,78.0,53.0,,,4.808743169398907,288.5245901639344,5.432235161722682,7.486612807448558,7.486612807448558,12.116211480712389,0.617900473210325,1.22,8.620000000000001,2.1550000000000002,2.0,7.4,-2.728263644967691
2024-04-06 08:08:03,11116890855,Morning Run,10.07,3957,3696.0,2.724,15.0,75.0,754.0,,,6.117179741807348,367.0307845084409,5.599374885089171,51.612787967818505,51.612787967818505,14.774850193816766,3.493286719713633,10.07,11.290000000000001,2.8225000000000002,2.0,10.07,2.021408331050188
2024-04-08 18:52:57,11137065793,Trotezinho com Miguel,7.37,3001,2805.0,2.629,10.2,,,,,6.343283582089552,380.5970149253731,5.867117117117116,39.99473978847686,91.60752775629537,24.773535140935984,3.6977979620244983,17.44,18.66,4.665,3.0,10.07,4.299509885626777
2024-04-17 09:42:37,11201132400,Morning Run,1.7,1005,542.0,3.139,0.0,76.0,96.0,,,5.313725490196078,318.8235294117647,5.599374885089171,10.030645838732955,10.030645838732955,25.409543398757084,0.39475899591425195,1.7,19.14,4.785,3.0,10.07,2.1136546969477754
2024-04-19 10:22:54,11215771444,Morning Run,4.64,1652,1644.0,2.827,4.0,75.0,333.0,,,5.905172413793103,354.3103448275862,5.867117117117116,27.04798477704376,37.07863061577672,32.171539593018025,1.1525289459203762,6.34,23.78,5.945,4.0,10.07,2.3662826816734666
2024-04-22 09:29:19,11237488695,Morning Run,9.12,3333,3274.0,2.786,13.0,75.0,684.0,,,5.983187134502925,358.99122807017545,5.88614476545511,52.810968254846266,89.88959887062298,45.37428165672959,1.981069354456462,15.459999999999999,32.900000000000006,8.225000000000001,5.0,10.07,2.6312284413685236
2024-04-24 19:13:19,11256503474,Afternoon Run,9.19,3452,3231.0,2.846,16.0,78.0,681.0,,,5.859630032644179,351.57780195865075,5.867117117117116,53.98770052919176,133.84665356108178,58.87120678902753,2.273550362925943,22.95,42.09,10.5225,6.0,10.07,2.5860444231769817
